State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Mohali,Kharar APMC,Tomato,Tomato,Non-FAQ,26-02-2026,1200,2500,1500
Punjab,Mohali,Kharar APMC,Kinnow,Kinnow,Local,26-02-2026,3000,4000,3500
Madhya Pradesh,Badwani,Badwani(F&V) APMC,Cauliflower,Cauliflower,Local,26-02-2026,1500,1500,1500
Rajasthan,Alwar,Kherli APMC,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,26-02-2026,1700,1750,1730
Rajasthan,Alwar,Kherli APMC,Mustard,Mustard,Non-FAQ,26-02-2026,5815,6310,6135
Assam,Nagaon,Dhing APMC,Potato,Potato,FAQ,26-02-2026,1100,1300,1200
Madhya Pradesh,Hoshangabad,Pipariya(F&V) APMC,Potato,Potato,Local,26-02-2026,650,1500,1100
Madhya Pradesh,Hoshangabad,Pipariya(F&V) APMC,Cauliflower,Cauliflower,Local,26-02-2026,600,1600,1200
Madhya Pradesh,Hoshangabad,Pipariya(F&V) APMC,Pumpkin,Pumpkin,Local,26-02-2026,500,1200,900
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Orange,Orange,Grade A,26-02-2026,7300,7700,7500
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Custard Apple(Sharifa),Custard Apple(Sharifa),Grade A,26-02-2026,5800,6200,6000
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Onion,Bombay (U.P.),Grade A,26-02-2026,1500,1900,1700
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Pumpkin,Pumpkin,Grade C,26-02-2026,2800,3200,3000
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Spinach,Spinach,Local,26-02-2026,1300,1700,1500
Uttar Pradesh,Badaun,Babrala APMC,Wood,Eucalyptus,Local,26-02-2026,580,600,590
Assam,Nagaon,Ambagan APMC,Beetroot,Beetroot,FAQ,26-02-2026,1900,2100,2000
Assam,Nagaon,Ambagan APMC,Raddish,Raddish,FAQ,26-02-2026,700,900,800
Assam,Nagaon,Ambagan APMC,Tomato,Tomato,FAQ,26-02-2026,2600,2800,2700
Assam,Nagaon,Haibargaon APMC,Potato,Potato,FAQ,26-02-2026,1000,1200,1100
